Query;QueryHash;Duration (ms);WorkerTime (ms);ComputeTime (ms)
0;229462248;12698;519;370
1;28009575;18825;1623;1076
2;138945768;13466;1571;1146
3;177117981;23536;2700;1753
4;189908078;4771;591;483
5;66906610;36974;2449;1433
6;249561657;5072;511;407
7;135966812;34460;4573;2851
8;23544330;5239;511;398
9;23209221;16927;1022;694
10;105360641;4953;424;332
11;188705287;19072;1972;1269
12;123773493;20416;1962;1264
13;166165452;21101;1259;867
14;58074389;15410;611;441
15;16248214;11609;793;632
16;39414797;1626;581;447
17;19058467;6170;260;195
18;177792540;33036;2371;1434
19;40007682;29686;2429;1426
20;5039993;32093;2790;1950
21;7867108;9019;2200;1486
22;187265847;3583;376;262
23;196438983;1266;246;175
24;161008491;12844;552;354
25;17690919;19134;1443;903
26;101286119;30907;4159;2618
27;13996412;12793;1315;771
28;51734677;34157;2327;1381
29;107713216;1751;437;334
30;12785032;19907;1287;830
31;34954295;16351;1546;920
32;51505717;19463;2063;1317
33;42012870;10084;851;559
34;5026379;8692;572;354
35;30000262;8056;1570;996
36;26211816;32521;2378;1287
37;130850264;39658;1807;1067
38;39000689;11301;1028;656
39;87293455;26384;2044;1149
40;100760785;30998;1919;1084
41;171901937;13640;523;269
42;9094587;18843;2517;1179
43;7658458;12014;402;213
44;95533736;12567;1360;910
45;73081923;804;734;552
46;249283857;7128;245;145
47;10968589;9371;533;355
48;219086237;19562;1329;717
49;78669666;28249;1859;1031
50;60618816;16643;1248;806
51;86492985;14842;1523;904
52;203048978;30589;1864;1044
53;151261998;29543;1673;1002
54;38695477;3947;85;35
55;37081757;22508;2621;1618
56;250235506;20798;1263;818
57;80900542;2889;913;664
58;201179386;19844;2066;1459
59;204729040;1642;103;79
60;2770824;10107;2180;1460
61;248137298;10678;482;338
62;48916777;459;129;98
63;224746592;16559;1886;1144
64;21825439;37967;1623;956
65;83872466;24993;3076;1881
66;193521640;22171;2526;1558
67;171532336;20684;1373;732
68;50644631;30940;2513;1488
69;225170760;13386;2281;1507
70;46515207;7364;455;236
71;3981426;19974;1359;1035
72;175513992;9801;1186;785
73;203876159;716;323;249
74;115478187;32248;3140;2093
75;117286416;14035;527;268
76;256152462;2844;104;76
77;88140550;7932;2145;1469
78;57973056;4308;670;500
79;16775421;23212;1559;961
80;50531341;1634;139;99
81;30586871;23675;3879;2836
82;235378940;15580;1488;963
83;151684148;9924;481;318
84;45801423;5523;274;154
85;49058775;602;134;102
86;78326208;15524;1057;590
87;158904887;38103;1818;1116
88;185466449;19149;1775;1379
89;48008901;7719;414;244
90;221016775;24787;2669;1880
91;47178077;1989;434;322
92;174229557;45169;1815;1119
93;13936817;22311;1300;857
94;170839293;3974;298;193
95;219563685;1562;167;120
96;4281188;20610;1719;1051
97;51287144;9652;967;632
98;96722628;12257;2326;1510
99;220799416;9346;1352;881
100;14539820;2968;270;191
101;109357509;6441;2318;1210
102;17540494;14754;903;575
103;11912201;7839;1297;871
104;211875799;10595;860;538
105;61991159;4019;218;150
106;15390180;13268;741;452
107;14040006;6440;523;332
108;108018028;14738;1015;630
109;49094133;748;262;198
110;10773090;26346;2387;1408
111;169448082;12518;703;416
112;17026414;15069;1056;687
113;79930506;22038;3704;2291
114;259784421;10224;1681;1062
115;71043121;32570;4526;2821
116;155967411;6712;284;172
117;59619913;8728;770;503
118;180292904;15341;1339;901
119;45231578;50475;1818;1120
120;76880272;1039;936;493
121;174302300;430;121;92
122;108311278;29556;2293;1401
123;115382446;18105;2177;1408
124;8835687;5912;542;353
125;39503345;13855;878;611
126;37269512;1742;436;310
127;211244593;11205;605;363
128;65388578;20861;1179;600
129;44132448;1891;205;147
130;235473893;19819;1750;1245
131;20837513;12977;1495;1027
132;197484807;8108;384;231
133;40886630;5595;422;270
134;223907146;9411;924;522
135;32298308;633;205;154
136;48521208;1617;139;99
137;225647064;14669;906;521
138;54623502;1770;306;228
139;49049620;23340;1588;1165
140;228345915;29383;1433;755
141;233725296;13308;784;462
142;137819552;28379;853;559
143;84249048;4832;366;255
144;191024298;12658;950;635
145;114153360;24640;1217;698
146;12922122;520;304;232
147;91479772;2272;128;89
148;25379388;23390;1147;525
149;272167744;29400;1030;556
150;235410689;18949;938;544
151;84857340;5473;2312;1631
152;82395498;10968;369;250
153;259454049;27006;1064;616
154;39864250;30042;3107;1935
155;173497860;23324;1982;1153
156;176907405;18987;1289;818
157;168689595;28282;1561;858
158;4186771;880;101;77
159;7529726;25900;710;425
160;175517944;884;286;218
161;40375776;4594;4333;4261
162;89280280;1079;184;132
163;15802312;709;330;251
164;138570091;9218;149;101
165;52915022;17981;2280;1418
166;160725438;517;289;222
167;217428494;12939;1933;1168
168;238181400;11740;800;406
169;95140761;3321;258;165
170;70660877;23268;1911;1099
171;9210012;15697;1216;733
172;93679855;382;244;186
173;57969996;29075;2325;1356
174;230912056;10024;961;544
175;118976706;2068;569;481
176;130162880;11516;736;508
177;19819367;40597;1778;1036
178;93718470;25157;2587;1548
179;182545130;41459;1675;1001
180;210750491;14387;1555;1217
181;138777376;7870;354;218
182;122485859;10700;712;452
183;13707129;368;125;95
184;226860311;19376;1862;1143
185;255889582;644;307;235
186;160711211;11904;439;257
187;185868988;985;255;194
188;239172062;20559;1327;896
189;20286784;52770;2765;1729
190;10926876;21089;3111;2282
191;46408756;3520;419;280
192;45536961;5074;304;176
